SUB_DISTRICT,2017-09-30,2018-09-30
Asifabad,26.44387251736163,34.158138601780294
Bejjur,34.856496524976066,34.0350622618942
Bellampalle,23.009098486387288,20.40585272919571
Bhimini,30.352679935051395,22.4061058148321
Chennur,17.20757482677334,21.456006857632694
Dahegaon,30.312132480459486,24.372919909980443
Dandepalle,23.65768103581247,32.34615245025541
Jaipur,17.222704575898913,22.055731468162694
Jannaram,30.585447761194068,35.58656968535704
Kagaznagar,23.362583437341613,28.43248124656562
Kasipet,25.054081091090993,31.864484179257225
Kerameri,30.73094961868996,39.09178107800496
Kotapalle,23.797160142366497,26.5153860906254
Kouthala,29.481392717754414,26.50618903847316
Luxettipet,26.77323122164693,29.14307714821295
Mancherial,26.09508850660685,26.668838818249817
Mandamarri,24.058879552183697,20.84737834388302
Nennal,22.64112010133679,21.4073896407116
Rebbana,25.698031740641998,22.445742640731908
Sirpur,20.981815291114323,25.22284217820535
Tandur,29.830030003616095,28.194124373295804
Tiryani,31.037685135380354,36.36692242420873
Vemanpalle,25.851343385954205,27.5825340177975
Wankdi,28.981277779018605,31.61030922654277
